case,nu_prev,s,alpha,closed_form,independent_argmin,abs_error,objective_gap
121,0.8958965721922691,7.034035867212941,119.91717508384012,7.030644637187042,7.030644639926831,2.739788840244728e-09,1.7763568394002505e-15
122,2.0280471035474985,-2.8405070265117107,0.25177536479066226,0.9733565538277205,0.9733565538458555,1.8135049018042082e-11,0.0
123,3.1774941240813916,-0.9951367905732837,3.9295451049001753,-0.48190961896312423,-0.4819096124387364,6.52438780779363e-09,5.551115123125783e-17
124,7.362523526561976,5.5554172517276506,133.59433333808903,5.555441442913796,5.555441437081112,5.832684557560697e-09,0.0
125,7.771057907624874,-4.306220812724977,0.0073106076651320955,4.862437857422713,4.862437860094797,2.672083887489407e-09,8.881784197001252e-16
126,3.674085483264234,-7.444330353572987,267.1313189762673,-5.442692789964983,-5.442692768420881,2.1544102501991347e-08,8.881784197001252e-16
127,1.8613807102818427,-7.580836792627775,1.6409510873858968,-0.5849528767114247,-0.5849528750125387,1.6988860318534194e-09,1.1102230246251565e-16
128,-7.340161455401535,-3.6799327908347426,0.007653115720416312,-7.339973393157917,-7.339973393157917,0.0,0.0
129,2.9058191765809926,-6.042530495861282,0.04696889982193184,2.286106446509978,2.2861064436032392,2.9067388496173407e-09,0.0
130,4.694500549096533,3.6830996319962956,12.697042194578398,3.684358027964741,3.684358029794968,1.8302266369119025e-09,8.881784197001252e-16
131,-6.615273973450256,5.041022912221019,3.6335259827963178,-0.2871254693794448,-0.2871254843676352,1.4988190411013846e-08,2.2737367544323206e-13
132,-6.915180727160736,-5.858787538298394,64.56059746768884,-6.808141109106189,-6.808141107244223,1.8619656927398864e-09,1.7763568394002505e-15
133,0.7818289555768647,0.38711806264663196,3.997873393133124,0.43562398879985675,0.43562398897259624,1.7273948937912564e-10,2.220446049250313e-16
134,-7.555905521086709,-6.996465698469219,0.026907894056764876,-7.55589497075389,-7.555894974699858,3.945967996799027e-09,1.688427175849938e-12
135,3.992495280008203,0.48379523309175987,0.09800798327684919,2.297743063339805,2.2977430657651863,2.425381229187451e-09,8.881784197001252e-16
136,5.9298452806952415,-0.2355765034171764,0.17194979307113642,1.872598089665905,1.8725980896840557,1.815081418499176e-11,0.0
137,5.926372741549175,2.4300383370127356,10.701618278186881,2.4379815778744405,2.437981582277408,4.402967324068641e-09,4.440892098500626e-16
138,5.535956881118448,-7.797912140617971,0.09983438044895918,2.2655536872832416,2.2655536876084095,3.251678926119439e-10,4.440892098500626e-16
139,-0.8729756812707397,-1.5374887958844994,0.9111760316281764,-1.0166564644975475,-1.016656461236947,3.260600456300722e-09,4.440892098500626e-16
140,5.585570203365739,-3.227107153370726,0.004082531121812201,4.849425982008153,4.849425982806467,7.98314303551706e-10,0.0
141,7.718188134464874,1.9132597985367212,5.426086279874007,1.9400161054653502,1.9400161055552878,8.993761291264946e-11,0.0
142,4.863249094245196,-3.8884929096806005,7.80453658256383,-1.90744083124528,-1.9074408303944679,8.508120874495262e-10,1.1102230246251565e-16
143,5.374356127933913,2.093238405565396,12.427414735561092,2.1027372975965184,2.10273729906447,1.467951538103307e-09,4.440892098500626e-16
144,-3.128623644293956,-6.401773329025829,0.27380415290046617,-3.140084942727931,-3.1400849424595974,2.6833379962454273e-10,4.440892098500626e-16
145,5.732009477741146,4.26511078608247,0.012825685879881997,4.779623874481871,4.779623874538291,5.6419757754611055e-11,0.0
146,5.748083429258315,7.989981370363967,0.031117152281105193,7.903249480123943,7.903249480386159,2.6221602666964827e-10,1.7763568394002505e-15
147,3.8941241385195973,-7.598333356896756,188.4022932896482,-5.14844161399667,-5.1484416139793385,1.7331913682028244e-11,0.0
148,5.892079880128314,-0.6312705019913878,7.416329882413492,-0.4057076316123087,-0.40570763156959844,4.271027975732977e-11,0.0
149,-6.582076041482516,0.7304203045184181,0.41646721571942025,-5.959624165434185,-5.959624165415804,1.8380852395694092e-11,0.0
150,-5.166834494525082,-6.001531626168937,6.038258533058673,-5.185854773193602,-5.185854774153361,9.597584949005977e-10,1.7763568394002505e-15
151,3.661058519705829,5.795704248443391,72.5600706321338,5.795391952551174,5.7953919690312174,1.648004310794704e-08,8.881784197001252e-16
152,1.6240744164178817,7.028501783216742,0.007539802052452796,3.838609007038362,3.83860900869862,1.6602581531799387e-09,0.0
153,-7.2732993943059,-0.2205500258896258,2.323318744194023,-6.222871789948895,-6.222871788967389,9.81506431685375e-10,1.1368683772161603e-13
154,-6.069112283322541,-4.976778298771267,29.634848992013332,-5.949460921497987,-5.949460919827502,1.6704850835935758e-09,1.3322676295501878e-15
155,-4.142344435914826,-4.786135378581646,0.004578922345414531,-4.142378963291524,-4.142378961583368,1.7081553949083172e-09,6.683542608243442e-13
156,-5.900236578543833,-7.161624587074055,0.6213728415040533,-5.9014550053862616,-5.9014550083949535,3.0086919622362984e-09,2.042810365310288e-14
157,4.4738121886975915,-0.1469626328741569,0.008852356246117984,3.9069119297247643,3.9069119308900127,1.1652483422608384e-09,0.0
158,-5.936768663009161,2.241869322540147,11.797847961494716,-1.2486932079110764,-1.2486931988152015,9.095874942133264e-09,2.842170943040401e-14
159,3.481802308570172,0.7168022002697647,0.03546797398485919,2.784891350160099,2.7848913502078414,4.774225459414083e-11,4.440892098500626e-16
